State	County	Latitude	Longitude	Name	State_FIPS	USPS_Code
AL	Autauga	32.536382	86.64449	Alabama	1	AL
AL	Baldwin	30.659218	87.746067	Alabama	1	AL
AL	Barbour	31.87067	85.405456	Alabama	1	AL
AL	Bibb	33.015893	87.127148	Alabama	1	AL
AL	Blount	33.977448	86.567246	Alabama	1	AL
AL	Bullock	32.101759	85.717261	Alabama	1	AL
AL	Butler	31.751667	86.681969	Alabama	1	AL
AL	Calhoun	33.771706	85.822513	Alabama	1	AL
AL	Chambers	32.917943	85.391812	Alabama	1	AL
AL	Cherokee	34.069515	85.654242	Alabama	1	AL
AL	Chilton	32.85406	86.726628	Alabama	1	AL
AL	Choctaw	31.991008	88.248887	Alabama	1	AL
AL	Clarke	31.685521	87.818624	Alabama	1	AL
AL	Clay	33.267809	85.862051	Alabama	1	AL
AL	Cleburne	33.671981	85.516109	Alabama	1	AL
AL	Coffee	31.402183	85.989201	Alabama	1	AL
AL	Colbert	34.703112	87.801457	Alabama	1	AL
AL	Conecuh	31.428293	86.992029	Alabama	1	AL
AL	Coosa	32.931445	86.243482	Alabama	1	AL
AL	Covington	31.243987	86.448721	Alabama	1	AL
AL	Crenshaw	31.732826	86.319222	Alabama	1	AL
AL	Cullman	34.131923	86.869267	Alabama	1	AL
AL	Dale	31.430654	85.609476	Alabama	1	AL
AL	Dallas	32.33354	87.114356	Alabama	1	AL
AL	DeKalb	34.460929	85.803992	Alabama	1	AL
AL	Elmore	32.597229	86.142739	Alabama	1	AL
AL	Escambia	31.121748	87.168429	Alabama	1	AL
AL	Etowah	34.047638	86.03442	Alabama	1	AL
AL	Fayette	33.732249	87.752049	Alabama	1	AL
AL	Franklin	34.441988	87.842815	Alabama	1	AL
AL	Geneva	31.090866	85.824346	Alabama	1	AL
AL	Greene	32.844497	87.964201	Alabama	1	AL
AL	Hale	32.752796	87.623061	Alabama	1	AL
AL	Henry	31.516978	85.239971	Alabama	1	AL
AL	Houston	31.158193	85.296398	Alabama	1	AL
AL	Jackson	34.763522	85.9774	Alabama	1	AL
AL	Jefferson	33.553444	86.896536	Alabama	1	AL
AL	Lamar	33.787085	88.087431	Alabama	1	AL
AL	Lauderdale	34.904122	87.650997	Alabama	1	AL
AL	Lawrence	34.529776	87.321865	Alabama	1	AL
AL	Lee	32.604064	85.353048	Alabama	1	AL
AL	Limestone	34.810239	86.9814	Alabama	1	AL
AL	Lowndes	32.147888	86.650586	Alabama	1	AL
AL	Macon	32.387027	85.692887	Alabama	1	AL
AL	Madison	34.764238	86.55108	Alabama	1	AL
AL	Marengo	32.247591	87.791091	Alabama	1	AL
AL	Marion	34.138219	87.881551	Alabama	1	AL
AL	Marshall	34.309564	86.321668	Alabama	1	AL
AL	Mobile	30.684573	88.196568	Alabama	1	AL
AL	Monroe	31.580332	87.383266	Alabama	1	AL
AL	Montgomery	32.203651	86.203831	Alabama	1	AL
AL	Morgan	34.454484	86.846402	Alabama	1	AL
AL	Perry	32.639005	87.293827	Alabama	1	AL
AL	Pickens	33.296809	88.096878	Alabama	1	AL
AL	Pike	31.798726	85.941997	Alabama	1	AL
AL	Randolph	33.296475	85.464068	Alabama	1	AL
AL	Russell	32.289811	85.18698	Alabama	1	AL
AL	St. Clair	33.712963	86.315663	Alabama	1	AL
AL	Shelby	33.262937	86.678104	Alabama	1	AL
AL	Sumter	32.597481	88.200057	Alabama	1	AL
AL	Talladega	33.369277	86.175805	Alabama	1	AL
AL	Tallapoosa	32.863369	85.799553	Alabama	1	AL
AL	Tuscaloosa	33.290202	87.52286	Alabama	1	AL
AL	Walker	33.791571	87.301092	Alabama	1	AL
AL	Washington	31.406974	88.202078	Alabama	1	AL
AL	Wilcox	31.99033	87.302205	Alabama	1	AL
AL	Winston	34.155888	87.364147	Alabama	1	AL
AK	Aleutians East	55.243722	161.950749	Alaska	2	AK
AK	Aleutians West	51.959447	178.338813	Alaska	2	AK
AK	Anchorage	61.177549	149.274354	Alaska	2	AK
AK	Bethel	60.928916	160.15335	Alaska	2	AK
AK	Bristol Bay	58.731373	156.986612	Alaska	2	AK
AK	Denali	63.682732	150.026719	Alaska	2	AK
AK	Dillingham	59.824816	158.602233	Alaska	2	AK
AK	Fairbanks North Star	64.690832	146.599867	Alaska	2	AK
AK	Haines	59.099905	135.578102	Alaska	2	AK
AK	Hoonah-Angoon	58.076434	135.1851	Alaska	2	AK
AK	Juneau	58.3727	134.178781	Alaska	2	AK
AK	Kenai Peninsula	60.366373	152.321973	Alaska	2	AK
AK	Ketchikan Gateway	55.449938	131.106685	Alaska	2	AK
AK	Kodiak Island	57.553611	153.630911	Alaska	2	AK
AK	Lake and Peninsula	58.205065	156.705188	Alaska	2	AK
AK	Matanuska-Susitna	62.182174	149.407974	Alaska	2	AK
AK	Nome	64.783686	164.188912	Alaska	2	AK
AK	North Slope	69.449343	153.47283	Alaska	2	AK
AK	Northwest Arctic	67.005066	160.021086	Alaska	2	AK
AK	Petersburg	56.639612	133.527996	Alaska	2	AK
AK	Prince of Wales-Hyder	55.415683	132.875734	Alaska	2	AK
AK	Sitka	57.142509	135.332624	Alaska	2	AK
AK	Skagway	59.575097	135.335418	Alaska	2	AK
AK	Southeast Fairbanks	63.864997	143.218628	Alaska	2	AK
AK	Valdez-Cordova	61.34984	145.023141	Alaska	2	AK
AK	Wade Hampton	62.283174	163.19095	Alaska	2	AK
AK	Wrangell	56.279121	132.040326	Alaska	2	AK
AK	Yakutat	59.999083	140.239593	Alaska	2	AK
AK	Yukon-Koyukuk	65.376131	151.576855	Alaska	2	AK
AZ	Apache	35.385845	109.493747	Arizona	4	AZ
AZ	Cochise	31.881793	109.75412	Arizona	4	AZ
AZ	Coconino	35.829692	111.773728	Arizona	4	AZ
AZ	Gila	33.789618	110.81187	Arizona	4	AZ
AZ	Graham	32.931828	109.87831	Arizona	4	AZ
AZ	Greenlee	33.238872	109.242323	Arizona	4	AZ
AZ	La Paz	33.727625	114.038793	Arizona	4	AZ
AZ	Maricopa	33.346541	112.495534	Arizona	4	AZ
AZ	Mohave	35.717705	113.749689	Arizona	4	AZ
AZ	Navajo	35.390934	110.320908	Arizona	4	AZ
AZ	Pima	32.128237	111.783018	Arizona	4	AZ
AZ	Pinal	32.91891	111.367257	Arizona	4	AZ
AZ	Santa Cruz	31.525904	110.84519	Arizona	4	AZ
AZ	Yavapai	34.630044	112.573745	Arizona	4	AZ
AZ	Yuma	32.773942	113.910905	Arizona	4	AZ
AR	Arkansas	34.289574	91.376547	Arkansas	5	AR
AR	Ashley	33.190835	91.772267	Arkansas	5	AR
AR	Baxter	36.28071	92.330438	Arkansas	5	AR
AR	Benton	36.337825	94.256187	Arkansas	5	AR
AR	Boone	36.304308	93.079204	Arkansas	5	AR
AR	Bradley	33.463819	92.168164	Arkansas	5	AR
AR	Calhoun	33.56046	92.513879	Arkansas	5	AR
AR	Carroll	36.337774	93.541663	Arkansas	5	AR
AR	Chicot	33.267139	91.297158	Arkansas	5	AR
AR	Clark	34.053312	93.176205	Arkansas	5	AR
AR	Clay	36.367302	90.418704	Arkansas	5	AR
AR	Cleburne	35.566288	92.059974	Arkansas	5	AR
AR	Cleveland	33.893201	92.188714	Arkansas	5	AR
AR	Columbia	33.21507	93.226901	Arkansas	5	AR
AR	Conway	35.265702	92.689248	Arkansas	5	AR
AR	Craighead	35.828268	90.630411	Arkansas	5	AR
AR	Crawford	35.583041	94.236224	Arkansas	5	AR
AR	Crittenden	35.211878	90.315331	Arkansas	5	AR
AR	Cross	35.291259	90.773894	Arkansas	5	AR
AR	Dallas	33.967823	92.653999	Arkansas	5	AR
AR	Desha	33.828748	91.244427	Arkansas	5	AR
AR	Drew	33.587242	91.722778	Arkansas	5	AR
AR	Faulkner	35.146356	92.324654	Arkansas	5	AR
AR	Franklin	35.508573	93.887672	Arkansas	5	AR
AR	Fulton	36.383443	91.819239	Arkansas	5	AR
AR	Garland	34.578861	93.146915	Arkansas	5	AR
AR	Grant	34.288063	92.423984	Arkansas	5	AR
AR	Greene	36.119922	90.565241	Arkansas	5	AR
AR	Hempstead	33.728611	93.665809	Arkansas	5	AR
AR	Hot Spring	34.315177	92.944147	Arkansas	5	AR
AR	Howard	34.083179	93.990988	Arkansas	5	AR
AR	Independence	35.737499	91.559942	Arkansas	5	AR
AR	Izard	36.094879	91.913625	Arkansas	5	AR
AR	Jackson	35.596605	91.223178	Arkansas	5	AR
AR	Jefferson	34.277696	91.930701	Arkansas	5	AR
AR	Johnson	35.573359	93.466322	Arkansas	5	AR
AR	Lafayette	33.24066	93.611643	Arkansas	5	AR
AR	Lawrence	36.041098	91.101153	Arkansas	5	AR
AR	Lee	34.77975	90.779288	Arkansas	5	AR
AR	Lincoln	33.957665	91.727624	Arkansas	5	AR
AR	Little River	33.699497	94.229774	Arkansas	5	AR
AR	Logan	35.21855	93.720563	Arkansas	5	AR
AR	Lonoke	34.755114	91.894132	Arkansas	5	AR
AR	Madison	36.012545	93.724053	Arkansas	5	AR
AR	Marion	36.266656	92.678588	Arkansas	5	AR
AR	Miller	33.305505	93.901509	Arkansas	5	AR
AR	Mississippi	35.766943	90.052209	Arkansas	5	AR
AR	Monroe	34.679513	91.203314	Arkansas	5	AR
AR	Montgomery	34.545652	93.664147	Arkansas	5	AR
AR	Nevada	33.666699	93.305072	Arkansas	5	AR
AR	Newton	35.910063	93.215084	Arkansas	5	AR
AR	Ouachita	33.591158	92.878418	Arkansas	5	AR
AR	Perry	34.946363	92.926877	Arkansas	5	AR
AR	Phillips	34.425842	90.848386	Arkansas	5	AR
AR	Pike	34.158191	93.658659	Arkansas	5	AR
AR	Poinsett	35.568981	90.680595	Arkansas	5	AR
AR	Polk	34.490915	94.230884	Arkansas	5	AR
AR	Pope	35.455297	93.031535	Arkansas	5	AR
AR	Prairie	34.828225	91.5572	Arkansas	5	AR
AR	Pulaski	34.773988	92.316515	Arkansas	5	AR
AR	Randolph	36.341299	91.028441	Arkansas	5	AR
AR	St. Francis	35.014438	90.742199	Arkansas	5	AR
AR	Saline	34.648525	92.674463	Arkansas	5	AR
AR	Scott	34.858869	94.063641	Arkansas	5	AR
AR	Searcy	35.90966	92.699351	Arkansas	5	AR
AR	Sebastian	35.196981	94.274989	Arkansas	5	AR
AR	Sevier	33.994608	94.24329	Arkansas	5	AR
AR	Sharp	36.173399	91.471069	Arkansas	5	AR
AR	Stone	35.856989	92.140494	Arkansas	5	AR
AR	Union	33.168219	92.598145	Arkansas	5	AR
AR	Van Buren	35.582959	92.515977	Arkansas	5	AR
AR	Washington	35.971209	94.218417	Arkansas	5	AR
AR	White	35.254722	91.753158	Arkansas	5	AR
AR	Woodruff	35.189071	91.244418	Arkansas	5	AR
AR	Yell	34.997713	93.408303	Arkansas	5	AR
CA	Alameda	37.648081	121.913304	California	6	CA
CA	Alpine	38.61761	119.798999	California	6	CA
CA	Amador	38.44355	120.653856	California	6	CA
CA	Butte	39.665959	121.601919	California	6	CA
CA	Calaveras	38.187844	120.555115	California	6	CA
CA	Colusa	39.177739	122.237563	California	6	CA
CA	Contra Costa	37.919479	121.951543	California	6	CA
CA	Del Norte	41.749903	123.980998	California	6	CA
CA	El Dorado	38.785532	120.534398	California	6	CA
CA	Fresno	36.761006	119.655019	California	6	CA
CA	Glenn	39.602546	122.4017	California	6	CA
CA	Humboldt	40.706673	123.925818	California	6	CA
CA	Imperial	33.040816	115.355395	California	6	CA
CA	Inyo	36.561977	117.403927	California	6	CA
CA	Kern	35.346629	118.729506	California	6	CA
CA	Kings	36.072478	119.81553	California	6	CA
CA	Lake	39.094802	122.746757	California	6	CA
CA	Lassen	40.721089	120.629931	California	6	CA
CA	Los Angeles	34.196398	118.261862	California	6	CA
CA	Madera	37.210039	119.749852	California	6	CA
CA	Marin	38.051817	122.745974	California	6	CA
CA	Mariposa	37.570034	119.91286	California	6	CA
CA	Mendocino	39.432388	123.442881	California	6	CA
CA	Merced	37.194806	120.722802	California	6	CA
CA	Modoc	41.592919	120.71837	California	6	CA
CA	Mono	37.915836	118.875167	California	6	CA
CA	Monterey	36.240107	121.315573	California	6	CA
CA	Napa	38.507351	122.325995	California	6	CA
CA	Nevada	39.295191	120.773446	California	6	CA
CA	Orange	33.675687	117.777207	California	6	CA
CA	Placer	39.062032	120.722718	California	6	CA
CA	Plumas	39.99517	120.829516	California	6	CA
CA	Riverside	33.729828	116.002239	California	6	CA
CA	Sacramento	38.450011	121.340441	California	6	CA
CA	San Benito	36.610702	121.085296	California	6	CA
CA	San Bernardino	34.85722	116.181197	California	6	CA
CA	San Diego	33.023604	116.776117	California	6	CA
CA	San Francisco	37.727239	123.032229	California	6	CA
CA	San Joaquin	37.935034	121.272237	California	6	CA
CA	San Luis Obispo	35.385227	120.44754	California	6	CA
CA	San Mateo	37.414664	122.371542	California	6	CA
CA	Santa Barbara	34.537378	120.038485	California	6	CA
CA	Santa Clara	37.220777	121.690622	California	6	CA
CA	Santa Cruz	37.012488	122.007205	California	6	CA
CA	Shasta	40.760522	122.04355	California	6	CA
CA	Sierra	39.576925	120.521993	California	6	CA
CA	Siskiyou	41.587986	122.533287	California	6	CA
CA	Solano	38.267226	121.939594	California	6	CA
CA	Sonoma	38.532574	122.945194	California	6	CA
CA	Stanislaus	37.562384	121.002656	California	6	CA
CA	Sutter	39.035257	121.702758	California	6	CA
CA	Tehama	40.126156	122.232276	California	6	CA
CA	Trinity	40.647724	123.114404	California	6	CA
CA	Tulare	36.230453	118.780542	California	6	CA
CA	Tuolumne	38.021451	119.964708	California	6	CA
CA	Ventura	34.358742	119.133143	California	6	CA
CA	Yolo	38.679268	121.903178	California	6	CA
CA	Yuba	39.270026	121.34428	California	6	CA
CO	Adams	39.874325	104.331872	Colorado	8	CO
CO	Alamosa	37.568442	105.788041	Colorado	8	CO
CO	Arapahoe	39.644632	104.331733	Colorado	8	CO
CO	Archuleta	37.202395	107.050863	Colorado	8	CO
